produktID;produktName;produktKategorie;produktMarkt;produktRangfolge;produktPreis
1;Graubrot;Brot, Cerialien, etc.;Aldi;08000;1.29
2;Toast;Brot, Cerialien, etc.;Aldi;00400;0.59
3;Mehrkornbrötchen zum Aufbacken;Brot, Cerialien, etc.;Aldi;00600;1.39
4;Weizenbrötchen zum Aufbacken;Brot, Cerialien, etc.;Aldi;00700;0.89
5;Granatäpfel;Obst;REWE;00050;
6;Schokobrötchen;Brot, Cerialien, etc.;Aldi;00200;1.49
7;Cola Zero;Getränke;REWE Getränke;00100;
8;Spülmaschinensalz;Haushalt & Katzen;DM;00100;
9;Kaffeemaschinen Entkalker;Haushalt & Katzen;DM;00100;0.95
10;Johannesbeeren;Obst;REWE;00100;
11;Nussecke;Brot, Cerialien, etc.;Aldi;00300;
12;Mühlenfrikadellen;Fisch, Fleisch & Vegi;REWE;00200;
13;Veg. Bolognese;Fisch, Fleisch & Vegi;DM;00200;1.35
14;Bizzl;Getränke;REWE Getränke;00200;
15;Käsetortellini;Grundnahrungsmittel;REWE;00250;
16;Hamburgerbrötchen;Brot, Cerialien, etc.;Aldi;00500;0.69
17;Currywurst;Fisch, Fleisch & Vegi;REWE;00300;1.99
18;Wasser m. Kohlensäure;Getränke;REWE Getränke;00300;
19;Kissen (Nougat Bits);Brot, Cerialien, etc.;Aldi;01100;1.99
20;Kiri-Dip;Käse, Eier & Milch;REWE;00400;
21;Müsli;Brot, Cerialien, etc.;Aldi;01200;1.89
22;Bagels;Brot, Cerialien, etc.;REWE;00500;
23;Corny Milch;Brot, Cerialien, etc.;Aldi;01500;1.29
24;Vollkornbrot;Brot, Cerialien, etc.;REWE;00600;0.59
25;Fruchtzwerge;Käse, Eier & Milch;REWE;00630;1.59
26;Corny Schoko;Brot, Cerialien, etc.;Aldi;01600;1.25
27;Clementine 7%;Sonstiges;REWE;00650;
28;Rotes Curry Creme;Grundnahrungsmittel;REWE;00660;1.99
29;Bio Nuss;Brot, Cerialien, etc.;Aldi;01250;1.59
30;Buchstabensuppe;Grundnahrungsmittel;REWE;00700;
31;Studentenfutter klein;Brot, Cerialien, etc.;Aldi;02300;
32;Miracolisoße;Sonstiges;REWE;00750;
33;Rigatoni (Lochnudeln);Grundnahrungsmittel;REWE;00800;0.99
34;Aufbackstangen;Brot, Cerialien, etc.;Aldi;04100;
35;Linsen;Grundnahrungsmittel;REWE;00900;
36;Miracoli;Grundnahrungsmittel;REWE;00950;2.49
37;Rotkohl;Gemüse;REWE;01000;0.99
38;Aufbackbretzeln;Brot, Cerialien, etc.;Aldi;04200;
39;Sauerkraut;Gemüse;REWE;01100;
40;Walnüsse;Fisch, Fleisch & Vegi;Aldi;05110;
41;Wassereis;Süßes;REWE;01200;0.79
42;Chicken Nuggets;Fisch, Fleisch & Vegi;Aldi;04400;
43;Salami;Fisch, Fleisch & Vegi;Aldi;06050;1.19
44;Veg. Bratwurst;Fisch, Fleisch & Vegi;Aldi;05400;
45;Veg. Burger;Fisch, Fleisch & Vegi;Aldi;05500;1.85
46;Katzenstreu;Haushalt & Katzen;REWE;01300;4.79
47;Spülmaschinen Klarspüler;Haushalt & Katzen;REWE;01350;
48;Pizza Thunfisch Ristorante;Grundnahrungsmittel;REWE;01380;2.69
49;Rahm-Blumenkohl;Gemüse;REWE;01400;
